step,saved,dead,alive,agents_lost,ethical_score,total_hazard_intensity,avg_agent_energy
1,0,0,18,0,0.0,19.0,116.86
2,0,0,18,0,0.0,27.0,114.57
3,0,0,18,0,0.0,33.0,111.43
4,0,0,18,0,0.0,45.0,109.29
5,0,0,18,0,-6.0,59.0,107.0
6,1,0,17,0,0.0,71.0,103.43
7,1,0,17,0,-4.0,81.0,101.14
8,2,1,15,0,3.0,97.0,97.43
9,2,2,14,0,-11.0,117.0,95.14
10,2,3,13,0,-21.0,118.0,92.0
11,2,3,13,0,-27.0,118.0,89.71
12,3,3,12,0,-25.0,118.0,86.0
13,3,3,12,0,-31.0,118.0,83.83
14,3,3,12,1,-39.0,118.0,81.83
15,3,3,12,1,-41.0,118.0,79.67
16,3,3,12,1,-45.0,118.0,77.67
17,3,3,12,1,-47.0,118.0,75.67
18,3,3,12,1,-47.0,119.0,73.5
19,3,4,11,1,-53.0,119.0,71.33
20,3,5,10,1,-57.0,119.0,69.17
21,3,6,9,1,-61.0,119.0,67.0
22,3,7,8,1,-65.0,119.0,64.83
23,3,8,7,1,-69.0,119.0,62.67
24,3,8,7,1,-69.0,119.0,59.5
25,3,9,6,1,-73.0,119.0,57.5
26,3,9,6,1,-73.0,119.0,55.33
27,3,9,6,1,-73.0,119.0,53.17
28,3,10,5,1,-79.0,119.0,51.0
29,3,11,4,1,-83.0,119.0,48.83
30,3,12,3,1,-87.0,119.0,47.33
31,3,12,3,1,-87.0,119.0,45.83
32,3,12,3,1,-87.0,119.0,44.5
33,3,12,3,1,-87.0,119.0,43.0
34,3,14,1,1,-95.0,119.0,45.17
35,3,14,1,1,-95.0,119.0,47.17
36,3,14,1,1,-95.0,119.0,45.33
37,3,14,1,1,-95.0,119.0,43.83
38,4,14,0,1,-87.0,119.0,40.33
